ZipCode,Neighborhood,Population
02108,Beacon Hill,4454
02116,Back Bay,23157
02199,Prudential,1157
02109,Markets / Inner Harbor,4190
02110,Financial District / Wharves,2314
02111,Chinatown / Tufts-New England Medical Center,7926
02113,North End,6966
02114,West End / Back of the Hill,13335
02115,Fenway / East Fens / Longwood,28652
02215,Kenmore / Boston University,25770
02118,South End,28262
02119,Roxbury,27818
02120,Roxbury Crossing,15188
02121,Roxbury / Grove Hall,30159
02122,Dorchester / Fields Corner,24485
02124,Dorchester / Codman Square,56649
02125,Dorchester / Uphams Corner,34847
02126,Mattapan,29620
02127,South Boston,37634
02210,South Boston / Fort Point,3715
02128,East Boston,47263
02129,Charlestown,19890
02130,Jamaica Plain,40749
02131,Roslindale,34419
02132,West Roxbury,27801
02134,Allston,19907
02135,Brighton,44951
02163,North Brighton / Cambridge,2621
02136,Hyde Park,35213
